资源名称,下载地址,下载地址链接,类型
pycharm-community-2018.3.2,链接：https://pan.baidu.com/s/1y4HjGf4ih_MnMtXG2khVNQ  提取码：3tro,https://pan.baidu.com/s/1y4HjGf4ih_MnMtXG2khVNQ,Python
C++,链接：https://pan.baidu.com/s/1GAvsTr6tNE5rmItmT558cw  提取码：6htv,https://pan.baidu.com/s/1GAvsTr6tNE5rmItmT558cw,C/C++
Mindmaster,https://pan.baidu.com/s/1nQKz-X8pFWwYZTbt5aOpnA 提取码:62p4,https://pan.baidu.com/s/1nQKz-X8pFWwYZTbt5aOpnA,C/C++
李航统计学习方法第二版,链接: https://pan.baidu.com/s/1V7N1I5vydKGeNTQyjDOECw 提取码: mndi 复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1V7N1I5vydKGeNTQyjDOECw,电子书
linux笔记,链接：https://pan.baidu.com/s/1BrHPDWIZbgIv2NxzBPD3cQ  提取码：linu  复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1BrHPDWIZbgIv2NxzBPD3cQ,Linux
flask-docs,链接：https://pan.baidu.com/s/1rQIsWovmGotRhQPEPB6M_A  提取码：sprl  复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1rQIsWovmGotRhQPEPB6M_A,Python
c++ primer plus,链接: https://pan.baidu.com/s/1nj2uxnBdvXenqt4stMzCdQ 提取码: 7x9g,https://pan.baidu.com/s/1nj2uxnBdvXenqt4stMzCdQ,C/C++
算法导论,链接：https://pan.baidu.com/s/19W3VpITHxZrvuo5FiSolIQ  提取码：ehrv,https://pan.baidu.com/s/19W3VpITHxZrvuo5FiSolIQ,C/C++
Python课程600集全集,https://pan.baidu.com/s/1XzErDQxY4cqvmW22husUOg       提取码:gcsv,https://pan.baidu.com/s/1XzErDQxY4cqvmW22husUOg,Python
微生物学电子书,链接: https://pan.baidu.com/s/1JW5KocFEWh5mAcjaKkisCw 提取码: vb8a 复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1JW5KocFEWh5mAcjaKkisCw,其它
Java并发编程的艺术,链接：https://pan.baidu.com/s/1wVpAxPHvCybzEVYdQaHg1g  提取码：8z0d  复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1wVpAxPHvCybzEVYdQaHg1g,Java
ios5.1,链接：https://pan.baidu.com/s/15upxyVvK6Cp2LVYRhUrjgA  提取码：2kv2  复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/15upxyVvK6Cp2LVYRhUrjgA,ios
Python编程：从入门到实践,链接：https://pan.baidu.com/s/1BA_xhSG-WQJWsceHRPPJSg  提取码：v0sa,https://pan.baidu.com/s/1BA_xhSG-WQJWsceHRPPJSg,Python
JAVA核心技术卷1：基础知识（原书第8版).(昊斯特曼).叶乃文等.扫描版,链接: https://pan.baidu.com/s/1rkrqCUb62t5X7NZFRYTRsw 提取码: yc6t,https://pan.baidu.com/s/1rkrqCUb62t5X7NZFRYTRsw,Java
123,链接: https://pan.baidu.com/s/1Nh5hRwTSrDiT0drVR5rBWQ 提取码: 8899,https://pan.baidu.com/s/1Nh5hRwTSrDiT0drVR5rBWQ,前端
